algorithm,dataset_type,filename,input_size,threads,run_number,execution_time_ms,memory_usage_kb,comparison_count
quicksort_seq,uniform,uniform-input-5000000-1-float.txt,5000000,1,2,377.848,74384,134081557
quicksort_seq,uniform,uniform-input-5000000-1-float.txt,5000000,1,3,378.399,74384,134081557
quicksort_par,uniform,uniform-input-5000000-1-float.txt,5000000,1,1,380.442,74368,134081557
quicksort_par,uniform,uniform-input-5000000-1-float.txt,5000000,1,2,381.512,74384,134081557
quicksort_par,uniform,uniform-input-5000000-1-float.txt,5000000,1,3,397.659,74384,134081557
quicksort_par,uniform,uniform-input-5000000-1-float.txt,5000000,2,1,238.343,74416,134081557
quicksort_par,uniform,uniform-input-5000000-1-float.txt,5000000,2,2,238.566,74416,134081557
quicksort_par,uniform,uniform-input-5000000-1-float.txt,5000000,2,3,239.708,74416,134081557
quicksort_par,uniform,uniform-input-5000000-1-float.txt,5000000,4,1,203.407,74448,134081557
quicksort_par,uniform,uniform-input-5000000-1-float.txt,5000000,4,2,204.695,74432,134081557
quicksort_par,uniform,uniform-input-5000000-1-float.txt,5000000,4,3,203.665,74432,134081557
quicksort_par,uniform,uniform-input-5000000-1-float.txt,5000000,8,1,189.403,74512,134081557
quicksort_par,uniform,uniform-input-5000000-1-float.txt,5000000,8,2,190.319,74512,134081557
quicksort_par,uniform,uniform-input-5000000-1-float.txt,5000000,8,3,207.906,74512,134081557
quicksort_par,uniform,uniform-input-5000000-1-float.txt,5000000,16,1,198.874,74608,134081557
quicksort_par,uniform,uniform-input-5000000-1-float.txt,5000000,16,2,209.619,74624,134081557
quicksort_par,uniform,uniform-input-5000000-1-float.txt,5000000,16,3,180.768,74624,134081557
mergesort_seq,same_value,same_value-input-5000000-1-float.txt,5000000,1,1,202.209,94752,56894080
mergesort_seq,same_value,same_value-input-5000000-1-float.txt,5000000,1,2,201.634,94208,56894080
mergesort_seq,same_value,same_value-input-5000000-1-float.txt,5000000,1,3,199.576,94176,56894080
mergesort_par,same_value,same_value-input-5000000-1-float.txt,5000000,1,1,198.785,94112,56894080
mergesort_par,same_value,same_value-input-5000000-1-float.txt,5000000,1,2,196.414,94128,56894080
mergesort_par,same_value,same_value-input-5000000-1-float.txt,5000000,1,3,198.238,94112,56894080
mergesort_par,same_value,same_value-input-5000000-1-float.txt,5000000,2,1,306.427,112848,56894080
mergesort_par,same_value,same_value-input-5000000-1-float.txt,5000000,2,2,312.265,111696,56894080
